Facility_Name,2019_in_DA_stray,2019_in_DJ_stray,2019_in_CA_stray,2019_in_CJ_stray,2019_in_DA_relinq,2019_in_DJ_relinq,2019_in_CA_relinq,2019_in_CJ_relinq,2019_in_DA_CO,2019_in_DJ_CO,2019_in_CA_CO,2019_in_CJ_CO,2019_in_DA_OOS,2019_in_DJ_OOS,2019_in_CA_OOS,2019_in_CJ_OOS,2019_in_DA_other,2019_in_DJ_other,2019_in_CA_other,2019_in_CJ_other,2019_out_DA_adopt,2019_out_DJ_adopt,2019_out_CA_adopt,2019_out_CJ_adopt,2019_out_DA_return,2019_out_DJ_return,2019_out_CA_return,2019_out_CJ_return,2019_out_DA_CO,2019_out_DJ_CO,2019_out_CA_CO,2019_out_CJ_CO,2019_out_DA_OOS,2019_out_DJ_OOS,2019_out_CA_OOS,2019_out_CJ_OOS,2019_out_DA_other,2019_out_DJ_other,2019_out_CA_other,2019_out_CJ_other
"Big Dogs Huge Paws, Inc",5.0,1.0,0.0,0.0,127.0,21.0,0.0,0.0,16.0,0.0,0.0,0.0,80.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,227.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black Ops Rescue,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blackhat humane Society,9.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Blue Lion Rescue,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,18.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blue Moon Akita Rescue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bounce Animal Rescue,0.0,0.0,0.0,0.0,21.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,225.0,564.0,0.0,0.0,0.0,46.0,0.0,0.0,241.0,602.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breeder Release Adoption Service,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,320.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,345.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brighter Days Dog Rescue,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,122.0,206.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,206.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bruno The Companion All Animal Rescue ,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
"Buck'n-R-Ranch Animal Rescue, Inc.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,9.0,12.0,10.0,3.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cane Haven Rescue,1.0,0.0,0.0,0.0,10.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,18.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cat Care Society,0.0,0.0,79.0,105.0,0.0,0.0,212.0,60.0,0.0,0.0,92.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296.0,250.0,0.0,0.0,43.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cats Alive,0.0,0.0,0.0,0.0,0.0,0.0,20.0,53.0,0.0,0.0,10.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,48.0,0.0,0.0,16.0,24.0,0.0,0.0,6.0,0.0,0.0,0.0,16.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Cats League and Assistance of the Western Slope,0.0,0.0,114.0,294.0,0.0,0.0,134.0,58.0,0.0,0.0,22.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,43.0,4.0,0.0,0.0,281.0,231.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
Cats League and Assistance of the Western Slope - CLAWS Adoption,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Cavalier King Charles Spaniel Club Rescue, Inc.",0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cavy Care Inc.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cayleb's Kindred Senior Dog Rescue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cheyenne Animal Shelter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Chihuahua & Small Dog Rescue, Inc.",0.0,0.0,0.0,0.0,8.0,5.0,0.0,0.0,82.0,7.0,0.0,0.0,64.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chow Down,0.0,0.0,14.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Circle 2 Rescue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,253.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City of Brush Animal Shelter,97.0,17.0,50.0,47.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,17.0,2.0,2.0,107.0,0.0,2.0,0.0,41.0,0.0,32.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
City of Burlington Animal Shelter,60.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,1.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City of Cripple Creek Animal Shelter,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City of La Junta Animal Shelter,262.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,0.0,0.0,0.0,118.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City of Las Animas/County of Bent Animal Shelter,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City of Leadville/Lake County ,42.0,1.0,10.0,0.0,16.0,0.0,6.0,13.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,182.0,0.0,20.0,0.0,44.0,1.0,31.0,13.0,189.0,0.0,13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City of Montrose Animal Services,546.0,38.0,155.0,112.0,60.0,4.0,38.0,18.0,26.0,29.0,10.0,0.0,0.0,0.0,0.0,0.0,30.0,1.0,1.0,0.0,190.0,49.0,97.0,115.0,421.0,18.0,18.0,2.0,29.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City of Rocky Ford Animal Shelter,63.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,8.0,0.0,0.0,22.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City of Walsenburg,99.0,1.0,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,15.0,29.0,0.0,0.0,44.0,0.0,0.0,0.0,22.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City of Wray Animal Shelter,34.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,11.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City of Yuma,75.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,6.0,0.0,0.0,52.0,5.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colorado Animal Rescue,121.0,8.0,70.0,90.0,127.0,14.0,79.0,26.0,63.0,9.0,39.0,51.0,6.0,9.0,9.0,17.0,18.0,1.0,5.0,0.0,205.0,33.0,168.0,163.0,106.0,7.0,22.0,3.0,9.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colorado Animal Welfare League,1.0,0.0,1.0,0.0,0.0,6.0,7.0,9.0,2.0,0.0,2.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,1.0,101.0,5.0,14.0,1.0,55.0,0.0,0.0,9.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colorado Basenji Rescue,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colorado Beagle Rescue,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,78.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,88.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colorado Bullies & More ,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colorado Canine Rescue ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,15.0,36.0,0.0,0.0,2.0,5.0,0.0,0.0,24.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colorado Greyhound Adoption,0.0,0.0,0.0,0.0,129.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
